Pais,Valor_Estimado,Limite_Inferior,Limite_Superior
Bolivia (Plurinational State of),104.7,73,158
Netherlands (Kingdom of the),17.53,14,24
Spain,20.26,17,26
Switzerland,20.31,17,27
Portugal,20.9,18,25
Germany,21.29,19,27
Italy,28.32,19,45
France,28.98,24,37
Denmark,29.8,25,41
Greece,32.97,23,54
Finland,32.56,29,40
Norway,34.17,25,47
United Kingdom of Great Britain and Northern Ireland,36.17,32,42
Uruguay,41.48,26,61
Colombia,62.72,50,79
Argentina,69.04,45,102
Chile,70.01,43,116
Cuba,71.56,56,92
Ecuador,79.73,56,123
Dominican Republic,83.68,63,114
Peru,89.53,67,120
